FirstName,LastName,Address,City,State,ZipCode,MobilePhoneNumber,Major,GPA
Shelby,Shaw,7276 Bailey Radial Apt. 932,Jeremyburgh,Wisconsin,09606,(506)815-3643x0200,Math,4.4
Daniel,Nash,300 Rodriguez Squares Suite 958,East Jennifer,West Virginia,08153,103-681-0725x610,History,2.2
Heather,Scott,6292 Brittany Lakes Apt. 114,North Darrenland,New York,06518,001-438-852-4454x417,Math,2.0
Michelle,Campbell,39924 Timothy View,Katieside,North Dakota,43104,933-524-0533,Communications,3.0
Kelly,Church,016 Darryl Port Suite 926,Sylviabury,Vermont,17033,241.734.5918x62623,Math,2.0
Daniel,Griffith,2563 Goodman Fork,Coxview,West Virginia,91920,+1-283-481-2461x596,History,2.1
Matthew,Hurley,25795 Mcbride Village Suite 092,East Bryanmouth,West Virginia,24588,+1-334-768-2599,Physics,2.0
Thomas,Pratt,24315 Michael Orchard Apt. 224,Veronicaside,Massachusetts,19368,1804192483,Communications,2.1
Melanie,Francis,6658 Beth Road Suite 318,North Christinaberg,Louisiana,39193,1250312561,Physics,1.0
William,Burnett,2697 Garza Trace,Theresaburgh,Hawaii,36305,001-740-949-1650x94453,Computer Science,4.4
Lisa,Jimenez,6329 Stacie Ramp,Julianville,Minnesota,45296,(316)582-7723x07850,Math,2.5
Thomas,Taylor,7984 Julie Way,Rodriguezport,Maryland,14843,001-817-499-4722x098,History,2.4
Sharon,Bates,302 Tanner Heights,Fryeland,Louisiana,72111,+1-089-849-4382x225,Computer Science,1.2
Kristen,Garcia,58144 Raymond Summit,Mcgrathview,New Jersey,38417,5666340549,Computer Science,4.4
Christopher,Scott,38426 Donald Crescent Apt. 062,Martinezshire,Delaware,46271,+1-138-342-0184x08478,Physics,4.0
Timothy,Frank,69604 Cantu Roads,Lake Michael,Missouri,15647,226.206.2918,Physics,1.3
Michael,Wright,885 Quinn Brook,East Jimmyhaven,New Mexico,65674,9677173430,Math,3.0
Emily,Vega,82482 Glover Mission Suite 489,New Troyhaven,Minnesota,67372,644.040.3314x7014,Computer Science,4.5
Jason,Clark,1970 Bonnie Rapid,Lake Gary,Wisconsin,90713,001-003-808-6296x18205,Math,1.2
Patrick,Stanley,94261 Tammy Neck,West Edwin,Rhode Island,31367,(364)177-0496x3244,History,2.1
Jack,Carlson,56935 Kristie Mission,North Deniseside,Delaware,40147,001-198-887-3380,Math,2.5
Allison,Castillo,571 House Lodge,Evansfort,Ohio,24766,+1-117-145-4811x0925,Computer Science,1.3
Justin,Miller,754 Laurie Centers,New Gregory,Idaho,72029,(250)790-5053x6767,History,2.3
Catherine,Lester,74311 Kelly Mountain,Gillhaven,Nevada,77369,444-818-9587x2094,Computer Science,2.2
Willie,Brown,43963 Timothy Tunnel Suite 809,Lake David,South Dakota,18900,+1-304-516-9267x21868,Communications,2.3
Melody,Blevins,317 Hernandez Circles Suite 621,Stephenmouth,Missouri,83112,760-093-0849,Computer Science,3.2
